,,ウェビナータイトル,【矯正のJETシステム開発者 成田先生登壇】矯正をやるだけでは選ばれない時代へ SNSなしで月30件矯正相談を生む医院ブランド戦略,会社,担当者,ステータス,工数,着手スケジュール,期日スケジュール,参考情報
,開催前日〆,前日処理,ウェビナー後アンケート最終確認,キンダーガーデン,山本,未着手,1,7月28日,7月29日,
,開催当日,当日対応,当日リハーサル（開催30分前から）,キンダーガーデン,山本,未着手,1,7月28日,7月29日,
,開催当日,当日対応,アンケートをチャットに送る,キンダーガーデン,山本,未着手,1,7月28日,7月29日,
,開催当日,当日対応,終了後、振り返りMTG（御礼、アンケート結果共有）,キンダーガーデン,山本,未着手,1,7月28日,7月29日,
,開催後対応,事後処理,登壇者御礼、謝礼について連絡,キンダーガーデン,山本,未着手,1,7月29日,7月30日,
,開催後対応,事後処理,参加者リストのエクスポート（ZOOM）スプシへの貼り付け,キンダーガーデン,山本,未着手,1,7月29日,7月30日,
,開催後対応,事後処理,振り返り用数値の集計,キンダーガーデン,山本,未着手,1,7月29日,7月30日,申込数、参加数、参加率、アンケート回答、個別相談数を整理
,開催後対応,事後処理,最優先：アンケート回答かつ個別相談希望者 連絡・アポどり,キンダーガーデン,山本,未着手,1,7月29日,7月30日,
,開催後対応,事後処理,アーカイブ配信準備（必要であれば動画編集）,キンダーガーデン,山本,未着手,2,7月28日,7月30日,
,開催後対応,事後処理,アーカイブ配信告知,キンダーガーデン,山本,未着手,1,7月29日,7月30日,
,開催後対応,事後処理,ホワイトペーパー作成,SABU,牧野,未着手,5,7月31日,8月5日,
,開催後対応,事後処理,ホワイトペーパー配信,キンダーガーデン,山本,未着手,1,8月5日,8月6日,
